Experiment,rev,typ,Created,parent,State,Executor,metrics/train_metrics.json:accuracy,metrics/train_metrics.json:precision,metrics/train_metrics.json:recall,metrics/train_metrics.json:f1_score,metrics/train_metrics.json:roc_auc,metrics/test_metrics.json:accuracy,metrics/test_metrics.json:precision,metrics/test_metrics.json:recall,metrics/test_metrics.json:f1_score,metrics/test_metrics.json:roc_auc,preprocess.test_size,preprocess.random_state,train.n_estimators,train.max_depth,train.min_samples_split,train.min_samples_leaf,train.max_features,train.random_state,evaluate.threshold,data/processed/test.csv,data/processed/train.csv,data/raw/application_train.csv,data/raw/home_credit_raw.csv,models/credit_model.pkl,src/data/load_data.py,src/data/preprocess.py,src/models/evaluate.py,src/models/train.py
regularized_strong,1f282fd,branch_commit,2025-10-13T13:54:59,,Success,Dvc-task,0.7263259731390849,0.18431763766959297,0.6977341389728097,0.29160353535353534,0.7888105548379309,0.7186641302050306,0.1666846768964772,0.62134944612286,0.2628551953308056,0.7400743654055519,0.2,42,120,10,15,7,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,9b34f553b3df012d8e01cd0b47f036ef,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
tuned_ensemble,28adde6,branch_commit,2025-10-13T13:52:21,,Success,Dvc-task,0.8992715684042796,0.43492063492063493,0.8277945619335347,0.5702393340270552,0.9505649153712153,0.8488366421150187,0.2299925205684368,0.3716012084592145,0.2841302841302841,0.7421710222646287,0.2,42,240,18,10,5,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,92c5b508ae4167d00877b6408590881b,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
optimal_v3,8945221,branch_commit,2025-10-13T13:50:44,,Success,Dvc-task,0.7915067802673084,0.24053558751176343,0.7335850956696878,0.3622822613733852,0.859229589126824,0.7685803944523032,0.1843324250681199,0.5450151057401813,0.27548994655128534,0.7378015523928029,0.2,42,150,12,6,4,0.6,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,5f1ff56ab8bfe6ceb112ec146f8c1561,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
optimal_v2,3ed15fa,branch_commit,2025-10-13T13:49:16,,Success,Dvc-task,0.8790405190075119,0.3829671499184069,0.8153575025176234,0.5211528249360347,0.9369082665539937,0.8338292441019137,0.21841174579359127,0.4104733131923464,0.2851147174034695,0.7398469287844869,0.2,42,200,16,8,2,sqrt,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,12ef6e4a6bc962fdf0e8f870bee740c7,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
optimal_v1,0c4b32c,branch_commit,2025-10-13T13:47:43,,Success,Dvc-task,0.8188392247406588,0.27361688870970696,0.7518126888217522,0.4012145803383089,0.8807485262928192,0.7891322374518316,0.19333333333333333,0.5081570996978853,0.2800999167360533,0.7417960888410675,0.2,42,180,14,6,3,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,291c9dbba2ce2bab694cdf5cb20db25c,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
high_variance,0cecdc8,branch_commit,2025-10-13T13:46:16,,Success,Dvc-task,0.9703708822477318,0.7503684524995021,0.948539778449144,0.8378961414433448,0.9921833975401433,0.8966554477017381,0.2923260674828307,0.1971802618328298,0.23550637478951164,0.73722283299236,0.2,42,160,22,6,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,42e2be2c8f0617b3ae4ebf4b455c3d46,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
controlled_complexity,3602446,branch_commit,2025-10-13T13:44:39,,Success,Dvc-task,0.8692440896231017,0.36074588698544885,0.8026686807653575,0.4977751409077425,0.9277082002872006,0.827227940100483,0.21348314606741572,0.42477341389728096,0.2841552142279709,0.7387601177395255,0.2,42,300,16,7,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,0c5e83013876c792a71c2207ef788913,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
diversity_focus,0b27d9a,branch_commit,2025-10-13T13:43:02,,Success,Dvc-task,0.9904434002146272,0.8946846400072134,0.9992447129909365,0.9440783996574773,0.9986782998348754,0.9086060842560526,0.3346774193548387,0.1337361530715005,0.19110663404806447,0.73648226573955,0.2,42,200,25,5,2,0.4,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,4ed6bda76a56387254c06c0716a9e383,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
compact_model,5c74c36,branch_commit,2025-10-13T13:41:06,,Success,Dvc-task,0.7220009105394947,0.17983902889563266,0.6863041289023162,0.2849973863042342,0.7830448241694551,0.7157699624408566,0.16606189967982923,0.6267875125881168,0.26256064121493355,0.7396583238921344,0.2,42,90,9,6,2,0.5,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,a0d8363a5690aa9a10ca9406099c5a17,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
robust_ensemble,cefe64d,branch_commit,2025-10-13T13:38:41,,Success,Dvc-task,0.8198310624044747,0.27516864878775066,0.7537764350453172,0.4031617359923515,0.8814570346334168,0.7900590215111458,0.19385160644117422,0.5067472306143,0.2804279982166741,0.7417786438637264,0.2,42,220,14,6,3,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,44af29edcb804cf31b6d569471131f53,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
